lang,query,url,title,error
uk,Правий сектор,https://vk.com/id315585161,Praviy-Sektor Zakarpattya,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id287586663,Praviy-Sektor Shishaki-Ray-Org,"Этот материал заблокирован на территории РФ Ваша страница заблокирована за размещение информации, запрещённой правилами сайта."
uk,Правий сектор,https://vk.com/id241957654,Pravy Sektor,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id253532397,Praviy-Sektor Peremishlyani,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id303491180,Pravy Sektor,"Этот материал заблокирован на территории РФ Вашу сторінку заблоковано за розміщення інформації, забороненої правилами сайту."
uk,Правий сектор,https://vk.com/id257667002,Praviy-Sektor Praviy-Sektor,"Этот материал заблокирован на территории РФ Ваша страница заблокирована за размещение информации, запрещённой правилами сайта."
uk,Правий сектор,https://vk.com/id459902176,Pravy Sektor,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id247366231,Praviy-Sektor Chechelnik,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/ukrop24,Praviy-Sektor Dikanka-Rayorg,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/drogobych_ps,Drogobich Praviy-Sektor,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id244694134,Pravy Sektor,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id289687245,Praviy-Sektor Kolomia,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id248075744,Pravy Sektor,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id297537442,Pravy Sektor,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id284720470,Praviy-Sektor Karlivka,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/pszak,Pravy Sektor,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id406055235,Praviy-Sektor Kolomia,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id366480496,Pravy Sektor,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Фембой,https://vk.com/femboy_dev,Femboy Developer,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 24.02.2022 № 27-31-2020/Ид2145-22
